epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,4465.5,1.16219,0.56962,0.94116,0.88996,0.75244,0.83074,0.49833,1.43485,0.6635,1.07662,0.000844253,0.000844253,0.000844253
126,4501.31,1.16419,0.57013,0.94018,0.90073,0.7607,0.83633,0.51608,1.3956,0.65431,1.06494,0.000839537,0.000839537,0.000839537
127,4537.14,1.15909,0.5728,0.94061,0.85433,0.77557,0.83767,0.51481,1.38517,0.64051,1.05459,0.000834822,0.000834822,0.000834822
128,4572.87,1.15398,0.56251,0.9419,0.86207,0.75558,0.83482,0.50348,1.41498,0.66402,1.0657,0.000830106,0.000830106,0.000830106
129,4608.53,1.15979,0.57081,0.94065,0.89565,0.74213,0.83167,0.50363,1.42411,0.65667,1.07086,0.00082539,0.00082539,0.00082539
130,4644.34,1.14383,0.55426,0.93671,0.87777,0.74986,0.82838,0.51208,1.3932,0.64484,1.05995,0.000820675,0.000820675,0.000820675
131,4680.11,1.14051,0.55337,0.9314,0.9149,0.75799,0.83612,0.52049,1.39747,0.64347,1.06579,0.000815959,0.000815959,0.000815959
132,4716.07,1.14814,0.55235,0.93179,0.90681,0.76067,0.84552,0.53181,1.40812,0.64012,1.06246,0.000811243,0.000811243,0.000811243
133,4751.61,1.13147,0.55563,0.93412,0.85964,0.76685,0.82637,0.5101,1.40317,0.64762,1.06235,0.000806528,0.000806528,0.000806528
134,4787.25,1.14381,0.55806,0.93394,0.87061,0.76536,0.8408,0.52096,1.38958,0.64242,1.06277,0.000801812,0.000801812,0.000801812
135,4822.98,1.11868,0.55178,0.93005,0.88367,0.74967,0.83323,0.51092,1.39816,0.65344,1.06187,0.000797096,0.000797096,0.000797096
136,4858.56,1.13346,0.55519,0.92744,0.90161,0.74282,0.83069,0.50282,1.41345,0.64187,1.06873,0.00079238,0.00079238,0.00079238
137,4894.3,1.14141,0.55838,0.93417,0.91165,0.72494,0.83702,0.51487,1.40386,0.63935,1.06047,0.000787665,0.000787665,0.000787665
138,4929.91,1.12015,0.55102,0.92926,0.90462,0.73843,0.83893,0.51623,1.41433,0.64635,1.07101,0.000782949,0.000782949,0.000782949
139,4965.66,1.11792,0.54807,0.92919,0.85646,0.78387,0.84483,0.52383,1.39316,0.63454,1.06161,0.000778233,0.000778233,0.000778233
140,5001.34,1.11958,0.54714,0.93078,0.8744,0.79071,0.84327,0.52407,1.39714,0.64352,1.06635,0.000773518,0.000773518,0.000773518
141,5037.08,1.12587,0.55074,0.92977,0.89594,0.74568,0.8353,0.52618,1.40745,0.64808,1.06687,0.000768802,0.000768802,0.000768802
